status,imgname,score
0,c0,1.333333333
0,c1,3.375
0,c10,3.083333333
0,c11,3.416666667
0,c12,1.833333333
0,c13,3
0,c14,2.208333333
0,c15,1.666666667
0,c16,2.333333333
0,c17,1.583333333
0,c18,2.083333333
0,c19,1.25
0,c2,1.25
0,c20,2.916666667
0,c21,1.583333333
0,c22,1.5
0,c23,1.25
0,c24,2.541666667
0,c25,3.416666667
0,c26,1.5
0,c27,1.333333333
0,c28,1.583333333
0,c29,1.208333333
0,c3,1.291666667
0,c30,2.125
0,c31,3.416666667
0,c32,1.708333333
0,c33,2.541666667
0,c34,4.458333333
0,c35,1.75
0,c36,1.5
0,c37,1.5
0,c38,1.708333333
0,c39,1.833333333
0,c4,2.541666667
0,c40,1.375
0,c41,1.75
0,c42,1.208333333
0,c43,1.458333333
0,c44,2.75
0,c45,1.5
0,c46,4.25
0,c47,1.541666667
0,c48,4.5
0,c49,1.333333333
0,c5,2.875
0,c50,2.125
0,c51,1.833333333
0,c52,1.583333333
0,c53,1.5
0,c54,1.305555556
0,c55,2.708333333
0,c56,2.5
0,c57,4.416666667
0,c58,1.583333333
0,c59,1.166666667
0,c6,3.291666667
0,c60,2.541666667
0,c61,2.458333333
0,c62,2.958333333
0,c63,3.291666667
0,c64,3.166666667
0,c65,1.125
0,c66,3.375
0,c67,1.291666667
0,c68,1.458333333
0,c69,1.833333333
0,c7,2.166666667
0,c70,2.75
0,c71,1.583333333
0,c72,2.333333333
0,c73,1.333333333
0,c74,1.458333333
0,c75,1.333333333
0,c76,1.25
0,c77,2
0,c78,3
0,c79,1.583333333
0,c8,2.583333333
0,c9,1.125
1,g0,2.75
1,g1,4.75
1,g10,4.458333333
1,g11,3.208333333
1,g12,3.916666667
1,g13,2.75
1,g14,4.666666667
1,g15,4.083333333
1,g16,2.5
1,g17,3.5
1,g18,4.25
1,g19,4.5
1,g2,3.208333333
1,g3,4.083333333
1,g4,4.125
1,g5,2.041666667
1,g6,2.666666667
1,g7,1.791666667
1,g8,3.708333333
1,g9,4.416666667
